business_id,name,latitude,longitude,google_place_id,google_name,google_rating,google_user_ratings_total,google_price_level,google_business_status,google_types,google_hours_per_week,google_photo_count,google_unique_photo_contributors,google_has_photos
Lzq-mUgmdLz8mVpb3gGarA,Buffalo Bell,32.1784358,-110.9686162,ChIJ1QoF33V61oYR3v58Lid2PkY,Buffalo Bell,4.6,774.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",48.0,10,8,True
ipeqBIxJlQ1090ZCvXF0wg,Papa John's Pizza,32.2365046,-110.9343177,ChIJhbuDEQJv1oYRnOLsOWKbRCo,Papa Johns Pizza,3.3,179.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",121.0,10,5,True
V9XlikTxq0My4gE8LULsjw,Claim Jumper Steakhouse & Bar,32.22188,-110.91307,ChIJLUQsj9vRyIARGUd9QcdheVA,"Claim Jumper Steakhouse & Bar - Henderson, NV",4.3,3375.0,2.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",78.0,10,10,True
P7qY1cGAPgFzaAk3cSBphw,Little Caesars Pizza,32.1637987399,-110.9397400024,ChIJg2uvt4x61oYRT2dd_JlPjUI,Little Caesars Pizza,3.1,786.0,1.0,OPERATIONAL,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",100.0,10,7,True
WbA5ud4InNWkizW7HE5kRQ,Penca,32.22097,-110.970157,ChIJoXUuo-Fw1oYRMkYuFuBIFQ4,Penca,4.3,849.0,2.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",24.5,10,6,True
EqEcDeXqIq1YwnzHg_ZUFw,Frost Gelato,32.2512893,-110.8361532,ChIJlTYBSeFu1oYRTClBZHjerpo,Frost Gelato,4.6,944.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, store",79.0,10,7,True
Eb_vVPGB9t4hLau4tzypEg,Villa Fresh Italian Kitchen,32.218327,-110.865152,ChIJbwfKaZhv1oYRIer4QKqps2E,Villa Fresh Italian Kitchen,2.5,25.0,,CLOSED_TEMPORARILY,"establishment, food, point_of_interest, restaurant, store",,5,2,True
I0053JmJ5DEFUWSJ8pikhA,Golden Corral Buffet & Grill,32.2065256,-110.8991584,ChIJOZQguONv1oYRxVJa_wZboYk,Golden Corral Buffet & Grill,4.0,5080.0,2.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",83.0,10,8,True
35KHrtM1ZYtyZs1b6J1K4A,Donut King,32.2506697,-110.973739,ChIJd3hB72lx1oYRYreY-P0kccI,Donut King,4.6,323.0,1.0,OPERATIONAL,"bakery, establishment, food, point_of_interest, store",54.0,10,5,True
gnEyjxoBYQcP9Bz72C95YA,Maloney's,32.2265233298,-110.9658273239,ChIJP8PbnR1x1oYR0G7bZMB7ZNI,O’Malley’s Bar & Grill,3.9,1197.0,2.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",77.0,10,9,True
sDtIjlmqRCEq4TWGlqTqjA,Johnny Rockets,32.2319789,-110.9590517,ChIJeXeaZwRx1oYRIf4bbsnwIoI,Johnny Rockets,2.7,3.0,1.0,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,0,0,False
-D_InZvA0lq497RtoNxofw,Mr Baja Fish,32.1680084,-110.9771731,ChIJ7bYJC8dz1oYRDQ5URD0lQMQ,Delicias Express,4.6,725.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",76.0,10,10,True
5vpqoHruyjHALHjxJLSJbA,Gavi Italian Restaurant,32.3081238,-110.8438037,ChIJsxlRnDds1oYRvwzZfLF5Dos,Piazza Gavi,4.5,1561.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",66.5,10,9,True
wJmyu7W1K9A_gE8Ed4Bc9w,Trident Grill,32.236334,-110.941738,ChIJ_wirVK5x1oYRYoPb4fZvwhY,Trident Grill,4.5,1635.0,2.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",88.0,10,8,True
